gene_name	gene_id	total_exonic_length
A1BG	ENSG00000121410.12	3382
A1CF	ENSG00000148584.15	9221
A2M	ENSG00000175899.15	4610
A2ML1	ENSG00000166535.20	5127
A4GNT	ENSG00000118017.4	1779
AAAS	ENSG00000094914.14	1815
AACS	ENSG00000081760.17	3256
AADAC	ENSG00000114771.14	1563
AADACL2	ENSG00000197953.6	5060
AADAT	ENSG00000109576.14	2250
AAGAB	ENSG00000103591.13	3132
AAMDC	ENSG00000087884.16	522
AAMP	ENSG00000127837.10	1760
AANAT	ENSG00000129673.10	971
AAR2	ENSG00000131043.13	2417
AARD	ENSG00000205002.4	2291
AARS1	ENSG00000090861.17	3437
AARS2	ENSG00000124608.5	4798
AASDH	ENSG00000157426.14	3581
AASDHPPT	ENSG00000149313.11	2767
AASS	ENSG00000008311.16	5825
AATF	ENSG00000275700.6	2062
ABAT	ENSG00000183044.12	4779
ABCA1	ENSG00000165029.17	10408
ABCA12	ENSG00000144452.15	9298
ABCA13	ENSG00000179869.15	17188
ABCA3	ENSG00000167972.14	6602
ABCA4	ENSG00000198691.14	7328
ABCA5	ENSG00000154265.16	8252
ABCA6	ENSG00000154262.13	5321
ABCA8	ENSG00000141338.15	6002
ABCA9	ENSG00000154258.17	6377
ABCB1	ENSG00000085563.15	5205
ABCB10	ENSG00000135776.5	3869
ABCB5	ENSG00000004846.17	5350
ABCB6	ENSG00000115657.14	2980
ABCB7	ENSG00000131269.19	4592
ABCB8	ENSG00000197150.13	4656
ABCB9	ENSG00000150967.19	3484
ABCC1	ENSG00000103222.20	6504
ABCC11	ENSG00000121270.16	5894
ABCC12	ENSG00000140798.17	7385
ABCC3	ENSG00000108846.16	5693
ABCC5	ENSG00000114770.17	5790
ABCC6	ENSG00000091262.17	5140
ABCC8	ENSG00000006071.16	4921
ABCD1	ENSG00000101986.12	3669
ABCD2	ENSG00000173208.4	6290
ABCD3	ENSG00000117528.14	3604
ABCD4	ENSG00000119688.21	3035
ABCE1	ENSG00000164163.11	3887
ABCF1	ENSG00000204574.14	3405
ABCF2	ENSG00000033050.9	4527
ABCF3	ENSG00000161204.12	2446
ABCG1	ENSG00000160179.19	2976
ABCG2	ENSG00000118777.12	4206
ABCG4	ENSG00000172350.10	3812
ABCG5	ENSG00000138075.14	2760
ABCG8	ENSG00000143921.9	7180
ABHD1	ENSG00000143994.14	1420
ABHD10	ENSG00000144827.9	2604
ABHD11	ENSG00000106077.19	1418
ABHD12B	ENSG00000131969.15	1815
ABHD13	ENSG00000139826.6	5313
ABHD14A	ENSG00000248487.10	1066
ABHD14B	ENSG00000114779.20	1657
ABHD15	ENSG00000168792.5	3492
ABHD16A	ENSG00000204427.12	1977
ABHD17A	ENSG00000129968.17	1706
ABHD17B	ENSG00000107362.14	3065
ABHD17C	ENSG00000136379.12	2361
ABHD2	ENSG00000140526.18	8424
ABHD3	ENSG00000158201.10	2029
ABHD4	ENSG00000100439.11	3051
ABHD8	ENSG00000127220.6	2042
ABI2	ENSG00000138443.17	6567
ABI3	ENSG00000108798.9	1629
ABITRAM	ENSG00000119328.12	1901
ABL1	ENSG00000097007.19	5578
ABL2	ENSG00000143322.21	12217
ABLIM2	ENSG00000163995.21	3725
ABLIM3	ENSG00000173210.20	4439
ABR	ENSG00000159842.16	5395
ABRA	ENSG00000174429.4	2754
ABRACL	ENSG00000146386.8	782
ABRAXAS1	ENSG00000163322.14	4210
ABRAXAS2	ENSG00000165660.8	2955
ABT1	ENSG00000146109.5	2943
ABTB1	ENSG00000114626.18	1962
ABTB2	ENSG00000166016.6	4905
ACAA1	ENSG00000060971.19	1699
ACAA2	ENSG00000167315.18	2926
ACACA	ENSG00000278540.5	10013
ACACB	ENSG00000076555.16	9368
ACAD10	ENSG00000111271.15	4006
ACAD11	ENSG00000240303.8	3231
ACAD8	ENSG00000151498.12	2176
ACAD9	ENSG00000177646.20	2445
ACADL	ENSG00000115361.8	2515
ACADM	ENSG00000117054.15	2261
ACADS	ENSG00000122971.9	1859
ACADSB	ENSG00000196177.13	5848
ACADVL	ENSG00000072778.20	2184
ACAP1	ENSG00000072818.12	2511
ACAP2	ENSG00000114331.16	7093
ACAP3	ENSG00000131584.19	3793
ACAT1	ENSG00000075239.14	1537
ACAT2	ENSG00000120437.9	1520
ACBD3	ENSG00000182827.9	3584
ACBD4	ENSG00000181513.15	1827
ACBD5	ENSG00000107897.20	3903
ACBD6	ENSG00000230124.8	1293
ACCS	ENSG00000110455.14	2383
ACCSL	ENSG00000205126.2	1820
ACD	ENSG00000102977.18	1511
ACE	ENSG00000159640.17	4962
ACE2	ENSG00000130234.13	3339
ACER1	ENSG00000167769.5	1428
ACER2	ENSG00000177076.6	2773
ACER3	ENSG00000078124.13	7333
ACHE	ENSG00000087085.16	2172
ACIN1	ENSG00000100813.15	4460
ACKR1	ENSG00000213088.12	1146
ACKR2	ENSG00000144648.16	2990
ACKR4	ENSG00000129048.7	2310
ACLY	ENSG00000131473.17	4293
ACMSD	ENSG00000153086.14	1252
ACO1	ENSG00000122729.19	7443
ACO2	ENSG00000100412.17	2734
ACOT1	ENSG00000184227.8	1686
ACOT11	ENSG00000162390.18	3084
ACOT12	ENSG00000172497.9	2086
ACOT13	ENSG00000112304.11	4041
ACOT2	ENSG00000119673.16	1622
ACOT4	ENSG00000177465.5	1465
ACOT7	ENSG00000097021.20	1806
ACOT8	ENSG00000101473.17	1154
ACOT9	ENSG00000123130.17	4318
ACOX1	ENSG00000161533.12	7317
ACOX2	ENSG00000168306.13	2297
ACOX3	ENSG00000087008.16	2872
ACP1	ENSG00000143727.16	1474
ACP3	ENSG00000014257.16	3174
ACP4	ENSG00000142513.6	1342
ACP6	ENSG00000162836.12	6956
ACR	ENSG00000100312.11	1430
ACRBP	ENSG00000111644.8	1905
ACRV1	ENSG00000134940.14	1936
ACSBG1	ENSG00000103740.10	6215
ACSBG2	ENSG00000130377.14	2734
ACSF2	ENSG00000167107.13	2177
ACSL1	ENSG00000151726.15	3712
ACSL3	ENSG00000123983.15	5577
ACSM1	ENSG00000166743.10	2081
ACSM2A	ENSG00000183747.12	2894
ACSM2B	ENSG00000066813.14	2935
ACSM3	ENSG00000005187.12	2533
ACSM5	ENSG00000183549.10	2796
ACSS1	ENSG00000154930.15	3632
ACSS2	ENSG00000131069.20	2885
ACSS3	ENSG00000111058.8	8391
ACTA1	ENSG00000143632.15	1491
ACTA2	ENSG00000107796.13	1349
ACTC1	ENSG00000159251.8	1382
ACTG2	ENSG00000163017.14	1501
ACTL6A	ENSG00000136518.17	1854
ACTL6B	ENSG00000077080.10	1524
ACTL8	ENSG00000117148.8	1841
ACTN1	ENSG00000072110.16	3722
ACTN2	ENSG00000077522.15	4872
ACTN3	ENSG00000248746.6	2882
ACTN4	ENSG00000130402.14	4990
ACTR10	ENSG00000131966.14	2408
ACTR1A	ENSG00000138107.13	2830
ACTR1B	ENSG00000115073.8	2204
ACTR2	ENSG00000138071.15	3783
ACTR3	ENSG00000115091.12	6589
ACTR3B	ENSG00000133627.18	2213
ACTR5	ENSG00000101442.10	2547
ACTR6	ENSG00000075089.10	1737
ACTRT3	ENSG00000184378.3	1671
ACVR1	ENSG00000115170.16	3332
ACVR1B	ENSG00000135503.13	4531
ACVR1C	ENSG00000123612.16	8853
ACVR2A	ENSG00000121989.15	5214
ACVR2B	ENSG00000114739.14	11782
ACVRL1	ENSG00000139567.13	4177
ACY1	ENSG00000243989.9	1422
ACY3	ENSG00000132744.8	1371
ACYP1	ENSG00000119640.9	580
ADA	ENSG00000196839.14	1496
ADA2	ENSG00000093072.19	4355
ADAD2	ENSG00000140955.11	2018
ADAM10	ENSG00000137845.15	11158
ADAM11	ENSG00000073670.14	4614
ADAM15	ENSG00000143537.14	2936
ADAM17	ENSG00000151694.15	4391
ADAM18	ENSG00000168619.16	2400
ADAM19	ENSG00000135074.16	6481
ADAM2	ENSG00000104755.16	2610
ADAM20	ENSG00000134007.5	2784
ADAM23	ENSG00000114948.13	6334
ADAM28	ENSG00000042980.14	7019
ADAM32	ENSG00000197140.15	2524
ADAM33	ENSG00000149451.19	3436
ADAM7	ENSG00000069206.15	3367
ADAM8	ENSG00000151651.16	3259
ADAM9	ENSG00000168615.13	4112
ADAMDEC1	ENSG00000134028.14	2348
ADAMTS1	ENSG00000154734.16	5183
ADAMTS12	ENSG00000151388.11	8572
ADAMTS13	ENSG00000160323.19	4399
ADAMTS14	ENSG00000138316.11	5557
ADAMTS15	ENSG00000166106.4	6006
ADAMTS17	ENSG00000140470.15	6329
ADAMTS18	ENSG00000140873.16	5833
ADAMTS19	ENSG00000145808.10	5201
ADAMTS2	ENSG00000087116.17	6783
ADAMTS20	ENSG00000173157.18	6358
ADAMTS3	ENSG00000156140.10	6244
ADAMTS4	ENSG00000158859.10	9777
ADAMTS5	ENSG00000154736.6	9621
ADAMTS6	ENSG00000049192.15	7309
ADAMTS7	ENSG00000136378.15	5520
ADAMTS8	ENSG00000134917.10	3628
ADAMTS9	ENSG00000163638.13	7624
ADAMTSL3	ENSG00000156218.13	7299
ADAP1	ENSG00000105963.15	2349
ADAP2	ENSG00000184060.11	2669
ADAR	ENSG00000160710.18	6610
ADARB1	ENSG00000197381.17	6902
ADARB2	ENSG00000185736.16	8475
ADAT2	ENSG00000189007.16	6244
ADAT3	ENSG00000213638.6	1599
ADCK1	ENSG00000063761.16	3268
ADCK2	ENSG00000133597.11	2574
ADCK5	ENSG00000173137.12	1960
ADCY1	ENSG00000164742.16	12657
ADCY10	ENSG00000143199.18	5342
ADCY2	ENSG00000078295.17	6645
ADCY4	ENSG00000129467.14	3710
ADCY5	ENSG00000173175.16	6643
ADCY8	ENSG00000155897.10	4421
ADCY9	ENSG00000162104.10	7980
ADCYAP1	ENSG00000141433.13	3259
ADD2	ENSG00000075340.23	9290
ADD3	ENSG00000148700.15	4413
ADGRA2	ENSG00000020181.18	6944
ADGRA3	ENSG00000152990.14	4577
ADGRB3	ENSG00000135298.15	6090
ADGRD1	ENSG00000111452.13	5390
ADGRE1	ENSG00000174837.15	3112
ADGRE2	ENSG00000127507.18	6791
ADGRE3	ENSG00000131355.15	2349
ADGRE5	ENSG00000123146.20	3190
ADGRF1	ENSG00000153292.16	5432
ADGRF4	ENSG00000153294.12	3128
ADGRF5	ENSG00000069122.19	5761
ADGRG1	ENSG00000205336.14	4257
ADGRG2	ENSG00000173698.18	4684
ADGRG3	ENSG00000182885.17	2609
ADGRG4	ENSG00000156920.11	9933
ADGRG5	ENSG00000159618.16	3335
ADGRG6	ENSG00000112414.15	6822
ADGRG7	ENSG00000144820.8	3128
ADGRL1	ENSG00000072071.17	7820
ADGRL4	ENSG00000162618.15	3539
ADGRV1	ENSG00000164199.18	19557
ADH1A	ENSG00000187758.8	1454
ADH1B	ENSG00000196616.14	4067
ADH1C	ENSG00000248144.6	1454
ADH4	ENSG00000198099.10	2002
ADH5	ENSG00000197894.12	2652
ADH7	ENSG00000196344.12	2119
ADHFE1	ENSG00000147576.17	1972
ADI1	ENSG00000182551.14	2181
ADIG	ENSG00000182035.13	674
ADIPOQ	ENSG00000181092.10	4542
ADIPOR1	ENSG00000159346.13	2091
ADIPOR2	ENSG00000006831.10	3971
ADIRF	ENSG00000148671.14	627
ADM	ENSG00000148926.10	1492
ADM2	ENSG00000128165.9	4213
ADM5	ENSG00000224420.4	788
ADNP2	ENSG00000101544.9	5157
ADORA2A	ENSG00000128271.22	2529
ADORA2B	ENSG00000170425.4	1522
ADORA3	ENSG00000282608.2	1757
ADPGK	ENSG00000159322.18	2608
ADPRH	ENSG00000144843.12	3623
ADPRM	ENSG00000170222.12	1534
ADPRS	ENSG00000116863.11	1651
ADRA1B	ENSG00000170214.5	2507
ADRA1D	ENSG00000171873.8	2942
ADRB3	ENSG00000188778.6	2585
ADRM1	ENSG00000130706.13	1379
ADSL	ENSG00000239900.14	4359
ADSS1	ENSG00000185100.11	1723
ADSS2	ENSG00000035687.10	2555
ADTRP	ENSG00000111863.13	1692
AEBP1	ENSG00000106624.11	4097
AEBP2	ENSG00000139154.16	5830
AEN	ENSG00000181026.15	3072
AFAP1L1	ENSG00000157510.14	6024
AFAP1L2	ENSG00000169129.16	3722
AFF4	ENSG00000072364.13	9536
AFG1L	ENSG00000135537.17	5048
AFG3L2	ENSG00000141385.12	3160
AFM	ENSG00000079557.5	1997
AFMID	ENSG00000183077.16	1686
AFP	ENSG00000081051.8	2426
AFTPH	ENSG00000119844.17	4098
AGA	ENSG00000038002.9	2037
AGAP2	ENSG00000135439.12	5430
AGAP3	ENSG00000133612.19	3494
AGAP4	ENSG00000188234.15	2535
AGAP5	ENSG00000172650.15	2719
AGAP6	ENSG00000204149.15	2684
AGAP9	ENSG00000204172.12	2387
AGBL2	ENSG00000165923.17	3586
AGBL5	ENSG00000084693.16	3188
AGER	ENSG00000204305.16	1420
AGFG1	ENSG00000173744.18	8677
AGFG2	ENSG00000106351.13	4819
AGGF1	ENSG00000164252.13	4490
AGL	ENSG00000162688.17	7091
AGMAT	ENSG00000116771.6	3095
AGMO	ENSG00000187546.14	2476
AGO1	ENSG00000092847.14	13712
AGO2	ENSG00000123908.12	14595
AGO4	ENSG00000134698.11	7272
AGPAT1	ENSG00000204310.13	2196
AGPAT2	ENSG00000169692.13	1546
AGPAT3	ENSG00000160216.21	6565
AGPAT4	ENSG00000026652.15	7923
AGPAT5	ENSG00000155189.12	5237
AGPS	ENSG00000018510.18	7633
AGR2	ENSG00000106541.12	1697
AGR3	ENSG00000173467.9	738
AGRN	ENSG00000188157.15	7326
AGRP	ENSG00000159723.5	498
AGT	ENSG00000135744.9	2116
AGTR1	ENSG00000144891.19	2324
AGTR2	ENSG00000180772.8	2862
AGTRAP	ENSG00000177674.16	1130
AGXT	ENSG00000172482.5	2900
AGXT2	ENSG00000113492.14	2219
AHCY	ENSG00000101444.13	2150
AHCYL1	ENSG00000168710.18	3943
AHCYL2	ENSG00000158467.17	5049
AHI1	ENSG00000135541.22	6063
AHR	ENSG00000106546.14	6243
AHSA1	ENSG00000100591.8	1337
AHSG	ENSG00000145192.13	1574
AHSP	ENSG00000169877.10	488
AICDA	ENSG00000111732.12	2803
AIDA	ENSG00000186063.13	2975
AIF1	ENSG00000204472.13	655
AIF1L	ENSG00000126878.13	3374
AIFM1	ENSG00000156709.15	2222
AIFM2	ENSG00000042286.15	3134
AIFM3	ENSG00000183773.16	2334
AIG1	ENSG00000146416.19	2136
